,CONF,DEC,MASK_NUM,OII,OII_err,RA,bit_code,gmag,redz,rmag,zmag,mask_name
0,-999,-999.0,0,0.0,-1.0,-999.0,-999,,-999.0,,,st82-1hr
1,-999,1.00738720992,0,0.0,-1.0,11.6574516867,1936,23.2949638787,-999.0,22.531137445,21.3900942907,st82-1hr
2,-999,0.924911980597,0,0.0,-1.0,11.6754987434,1008,23.569025946,-999.0,23.3398746776,22.4445946442,st82-1hr
3,3,1.00789508595,0,20.1053130898,0.230919164416,11.6637668481,1536,22.6011065829,1.20345,22.6445104714,22.2472827254,st82-1hr
4,3,0.973411039202,0,12.3877511288,0.533825661058,11.672743057,1792,22.5407270535,0.7972,21.6849422731,20.5965550717,st82-1hr
5,3,1.00757933001,0,7.7906669104,0.592839141313,11.6717431235,1776,23.5249803603,0.97575,23.1102735921,22.2755548277,st82-1hr
6,-999,0.91295057601,0,0.0,-1.0,11.692987315,1792,22.8507558804,-999.0,21.9774175456,20.811276515,st82-1hr
7,3,1.00300522721,0,9.56170571969,0.199945822208,11.6821951947,768,23.6836494337,1.012,22.790711174,21.4556852332,st82-1hr
8,3,0.986382140802,0,7.41552730953,0.472345290939,11.6870745199,32,23.8194773921,0.78995,23.4860395627,22.75025971,st82-1hr
9,-999,1.01246703418,0,0.0,-1.0,11.6877514557,768,23.6269583456,-999.0,23.0059996095,21.5282207523,st82-1hr
10,3,1.00639719696,0,24.6187071286,0.830066283953,11.6920816119,2032,22.8126378388,1.1157,22.6629255179,21.9800547687,st82-1hr
11,-999,1.03110036053,0,0.0,-1.0,11.6911879004,240,22.3012573911,-999.0,21.9331904546,21.2106238659,st82-1hr
12,3,0.978847395848,0,13.5575815763,0.604409691177,11.7024777513,2032,22.9429512041,0.9458,22.5045838426,21.5560401832,st82-1hr
13,3,0.942054228868,0,7.10738490643,0.551357313854,11.712802979,1712,22.9957309461,0.73345,22.2578279985,21.2499306548,st82-1hr
14,3,0.913659620122,0,4.41755859969,0.565823244445,11.7203273738,2032,23.0267765125,1.00615,22.5619543622,21.7121732127,st82-1hr
15,3,0.969410236584,0,11.6587401593,0.591654808693,11.7162814075,2032,23.3139469239,0.9821,23.1928221414,22.3052470683,st82-1hr
16,3,0.92510374906,0,13.5834098753,0.738249010634,11.7265711503,32,23.0278107205,0.68955,22.5178582803,21.8716257453,st82-1hr
17,3,0.997592183962,0,8.37325739767,0.207329732487,11.7213618617,768,23.6668511679,0.82385,22.9579765673,21.8238710172,st82-1hr
18,3,1.02543142142,0,9.77552447091,0.237736615544,11.7214568685,240,23.598214162,0.80255,23.3088346761,22.5403568405,st82-1hr
19,-999,0.998331736499,0,0.0,-1.0,11.7309953136,1536,23.2106032845,-999.0,23.2276371933,23.0081802062,st82-1hr
20,-999,1.02674103894,0,0.0,-1.0,11.7299872086,2,19.630196854,-999.0,19.3034626524,19.2159305373,st82-1hr
21,3,0.934595605488,0,13.4268787054,0.22885509949,11.7510095793,1008,23.5917635738,0.9184,23.1562998848,22.3229952422,st82-1hr
22,-999,0.983763051333,0,0.0,-1.0,11.746265334,1792,23.5113999884,-999.0,22.2676363508,20.7015684886,st82-1hr
23,-999,0.94360339924,0,0.0,-1.0,11.7572612385,4,22.88219143,-999.0,20.8008872828,19.4617496228,st82-1hr
24,-999,0.932355167027,0,0.0,-1.0,11.7663981402,128,23.9076356774,-999.0,23.8636184797,23.2773534278,st82-1hr
25,3,0.962012762999,0,9.28355356652,0.469009964236,11.7642752869,192,23.0576602373,1.0403,22.9262387646,22.4922835689,st82-1hr
26,-999,1.02047613676,0,0.0,-1.0,11.757222679,1776,23.4214137795,-999.0,23.2008180029,22.6745383255,st82-1hr
27,-999,0.960470107022,0,0.0,-1.0,11.7697962971,768,23.5767508631,-999.0,22.5011900475,21.0946201296,st82-1hr
28,1,1.03303994736,0,9.9047579007,0.576304138755,11.7597544286,208,23.4685710018,0.11985,23.5307670012,22.7601035441,st82-1hr
29,3,0.99334918951,0,19.7227357115,0.248646050554,11.7707930683,240,23.2078338414,0.81905,22.7149260899,22.0288873374,st82-1hr
30,-999,0.985893948641,0,0.0,-1.0,11.7743804588,240,23.3206323238,-999.0,22.7781393362,21.9839600481,st82-1hr
31,-999,0.928831390358,0,0.0,-1.0,11.7907676559,1792,23.0641945817,-999.0,22.1951692838,20.8283522025,st82-1hr
32,1,0.949757448229,0,6.86256890779,0.49559100163,11.7903377768,1008,23.5664430062,1.448,23.0349703744,22.0575752355,st82-1hr
33,3,1.01698077645,0,8.10020189329,0.209610974076,11.788225091,32,23.8258832936,0.7769,23.607796045,22.8656399316,st82-1hr
34,3,0.955324429881,0,20.0558403924,0.261184886042,11.8011763204,2032,23.3893316326,0.9734,23.1912848852,22.4531877286,st82-1hr
35,-999,0.931049671381,0,0.0,-1.0,11.8096030262,768,23.6624585009,-999.0,22.4581340196,20.9259035653,st82-1hr
36,3,1.05861244417,0,12.6435640668,0.214075538127,11.789889579,2032,23.378317367,1.3409,23.1602791727,22.414945485,st82-1hr
37,3,1.023848024,0,9.17429526678,0.198328743371,11.7982501766,112,23.7537826246,1.3417,23.3289514232,22.3894315081,st82-1hr
