#Table1
#ra dec psfMag_u psfMag_g psfMag_r psfMag_i psfMag_z extinction_r propermotion angle run rerun camCol field obj objID
113.284011371897 25.7705188050552 20.42953 19.42982 19.10355 19.01011 18.97033 0.1064252 0.7211103 56.30993 2711 301 6 30 438 1237657119476285878
118.08393463918 28.9525563166722 18.9155 17.71035 17.62624 17.21127 17.12784 0.08863439 0.2828427 45 2777 301 3 64 363 1237657401335742827
116.372074950095 26.8861339015201 20.24444 19.16216 18.84571 18.72715 18.67334 0.09142601 0 0 2830 301 6 45 417 1237657630578377121
122.141858573441 25.8993702496491 20.19474 19.19389 18.9232 18.74793 18.75526 0.0862921 0 0 3513 301 2 75 357 1237660561895522661
122.136422201225 25.8667768530666 18.89429 17.93383 17.62843 17.50111 17.50051 0.08617822 0 0 3513 301 2 75 112 1237660561895522416
122.164046002139 25.6835977595014 21.0735 19.93338 19.61285 19.49598 19.42563 0.084878 1.131371 135 3513 301 2 74 395 1237660561895457163
122.087285636588 25.738986750818 19.49886 18.45816 18.24349 18.19857 18.23179 0.08184481 1.456022 -15.9454 3513 301 2 74 369 1237660561895457137
122.114936779679 25.6751717720794 20.68484 19.64583 19.34095 19.27556 19.31093 0.08361843 0 0 3513 301 2 74 343 1237660561895457111
122.064048303669 25.190183879267 19.05362 18.02682 17.76679 17.65492 17.6518 0.09548174 0 0 3513 301 1 72 60 1237660561358454844
122.060633045368 25.1105467001126 20.99236 20.11894 19.79557 19.69344 19.66119 0.0960988 0 0 3513 301 1 71 605 1237660561358389853
122.042589935886 25.0504661207664 18.74465 17.69305 17.40884 17.29134 17.28947 0.09347276 0.8944272 -63.43495 3513 301 1 71 113 1237660561358389361
122.157265844142 26.6985652280743 19.17613 18.29607 18.04194 17.9556 17.907 0.07978444 1.280625 -141.3402 3462 301 4 82 22 1237660343926390806
122.112384596784 26.6792642210236 20.28806 19.20791 18.86834 18.76587 18.8078 0.07744713 0 0 3462 301 4 81 435 1237660343926325683
122.10544988088 26.6812901700793 19.62447 18.59024 18.26117 18.12913 18.13749 0.07718781 0 0 3462 301 4 81 431 1237660343926325679
122.120328737787 26.5066899496768 20.11649 19.06931 18.85098 18.74127 18.73917 0.07905979 0 0 3462 301 4 81 321 1237660343926325569
118.261568975157 25.2348972293015 20.98307 19.84117 19.53975 19.39372 19.28537 0.2410401 0 0 2961 301 4 22 266 1237658192143843594
122.071884672416 28.1041765120104 19.42239 18.38786 18.11415 18.05064 18.04635 0.07796877 0.6324555 -18.43495 2961 301 3 51 361 1237658191608873321
122.159828395448 28.0146193957836 20.04435 19.09158 18.78348 18.67266 18.67842 0.08377981 0 0 2961 301 3 51 347 1237658191608873307
122.127545589451 27.5851398972429 21.01762 19.9577 19.65513 19.56228 19.59197 0.07649551 0 0 2961 301 2 49 415 1237658191071871391
122.091364278462 27.5363560463033 21.14136 20.11234 19.7716 19.65573 19.57849 0.07519913 0 0 2961 301 2 49 403 1237658191071871379
122.127533616667 27.6364049932039 19.90607 18.90076 18.68769 18.62761 18.65298 0.07676814 0 0 2961 301 2 49 315 1237658191071871291
122.162107811957 27.5374666743061 20.28413 19.33436 19.11448 19.04687 18.99381 0.07297982 0 0 2961 301 2 49 256 1237658191071871232
117.238671824007 26.5656048026367 20.59763 19.54294 19.19936 19.11615 19.14355 0.07578006 0 0 2864 301 4 55 424 1237657775534178728
118.202548329755 27.1653991986881 19.82667 19.5185 19.19149 19.07279 18.98213 0.07433178 0 0 2864 301 3 62 300 1237657774997766444
122.06872875847 29.8998364934705 21.04521 20.04492 19.80715 19.71706 19.82603 0.09611159 0 0 2864 301 2 91 491 1237657774462796267
122.155419502307 29.959402437558 20.65191 19.70069 19.3622 19.21004 19.31951 0.09030437 0 0 2864 301 2 91 359 1237657774462796135
122.125817788747 29.9351930785785 20.08478 19.00901 18.7551 18.66699 18.65779 0.09280261 0 0 2864 301 2 91 330 1237657774462796106
122.153826726741 29.3241203015255 20.54258 19.50264 19.22909 19.08885 19.06953 0.1115033 0.4472136 -26.56505 2864 301 1 88 306 1237657773925728562
116.37240882045 26.2676375431912 20.40063 19.43681 19.153 19.07428 19.06445 0.08836905 0 0 2830 301 5 42 456 1237657630041309640
122.134729815483 29.7359790625095 20.22242 19.17311 18.85806 18.76711 18.68048 0.1042577 0 0 2830 301 2 82 268 1237657628433318156
122.083228145975 29.6092043354296 20.83483 19.78124 19.44785 19.36219 19.25643 0.09568401 0 0 2830 301 2 81 278 1237657628433252630
122.051794034248 29.6218249812266 19.77049 18.62636 18.27382 18.16052 18.11011 0.09818949 0 0 2830 301 2 81 260 1237657628433252612
122.024987168168 29.548905858846 21.22985 20.19596 19.87098 19.75009 19.57487 0.1013828 1.56205 39.80557 2830 301 2 81 191 1237657628433252543
117.110623079259 25.0183918009214 19.17978 18.06941 17.72861 17.61617 17.58145 0.1247742 0 0 2830 301 2 39 336 1237657628430500176
112.779807129809 25.4399862707219 20.40865 19.31295 18.96118 18.86282 18.82603 0.1079226 0 0 2822 301 3 22 666 1237657594606518938
113.182624882873 25.1194521280168 20.61448 19.63927 19.31085 19.18022 19.12527 0.1046977 0 0 2822 301 2 22 566 1237657594069647926
114.031217653922 25.6386301624438 20.76487 19.65593 19.29487 19.20424 19.14757 0.1164583 0 0 2822 301 1 28 570 1237657593533170234
113.782926598792 25.336963599769 19.50563 18.50685 18.15647 18.01724 17.92351 0.1144539 0 0 2822 301 1 25 748 1237657593532973804
115.643238020623 26.6494497177777 19.82195 18.78461 18.5062 18.43787 18.44018 0.1051351 0.8246211 -14.03624 2777 301 3 43 304 1237657401334366512
114.586146636635 25.5544736920276 21.82195 20.29201 19.96305 19.84926 19.75969 0.1152289 0 0 2777 301 3 33 788 1237657401333711636
112.978221213029 25.1683333677589 19.97044 18.81756 18.48075 18.29046 18.34159 0.104331 0 0 2711 301 6 25 664 1237657119475958424
117.568985692202 28.9408904825027 19.05622 17.93564 17.65569 17.52819 17.47206 0.08241609 0 0 2711 301 4 62 421 1237657118404641189
116.990776636921 28.3178483905542 20.46958 19.43211 19.1074 19.03617 19.0138 0.08016437 0 0 2711 301 4 57 414 1237657118404313502
115.590629616806 26.9350433770572 19.55361 18.41247 18.09851 18.00443 17.95667 0.1188829 0 0 2711 301 4 44 520 1237657118403461640
114.943197665021 26.1369053086253 21.33483 20.29282 19.94154 19.77592 19.65637 0.1079374 0 0 2711 301 4 38 783 1237657118403068687
112.034209517394 28.133936942542 21.27254 20.26458 19.96262 19.86257 19.76096 0.1008927 0 0 2137 301 5 58 908 1237654653630022540
113.183690156928 28.7681882410978 19.71936 18.67271 18.31009 18.2233 18.19424 0.09302771 0.4472136 63.43495 2137 301 4 66 425 1237654653093675433
112.781403708029 28.318832808273 20.85098 19.80086 19.54095 19.42284 19.23949 0.09034467 0 0 2137 301 4 62 462 1237654653093413326
112.262268875855 28.9789472934832 20.16338 19.13041 18.78753 18.65327 18.64421 0.1227235 1.019804 11.30993 2131 301 6 35 440 1237654628395581880
110.295079156712 26.4536490007756 20.65282 19.7042 19.40067 19.31241 19.30084 0.1584602 0 0 2131 301 6 14 738 1237654628394205922
111.915413638258 27.6450013515287 21.0915 20.16826 19.88173 19.7534 19.80586 0.1064734 0 0 2131 301 5 26 676 1237654627858121380
112.866877157913 28.3035111549429 20.7416 19.58318 19.29973 19.21631 19.0787 0.08610463 0 0 2131 301 4 33 523 1237654627321709067
112.979295785873 28.1486815155259 18.66413 17.56378 17.25726 17.15956 17.16224 0.08789959 0 0 2131 301 4 33 34 1237654627321708578
112.673196360411 27.769770220226 21.14301 19.99396 19.69728 19.58385 19.44535 0.09518544 0 0 2131 301 4 29 775 1237654627321447175
111.913728983084 27.0940884094912 20.5007 19.47571 19.16793 19.06401 18.99146 0.1157777 0 0 2131 301 4 23 653 1237654627321053837
111.823579156835 26.1130567788097 20.44038 19.41469 19.07989 18.94674 18.92916 0.1817037 0 0 2131 301 3 17 783 1237654626783789839
111.480773797222 29.3264638459958 21.17907 20.0848 19.72786 19.58036 19.57673 0.09966365 0 0 2076 301 4 21 516 1237654391097721348
112.356346298905 29.9603268867134 20.87142 19.85476 19.50881 19.38278 19.34068 0.1582689 0 0 1889 301 4 27 412 1237653587939230108
122.142007076425 25.8508360581273 20.87784 19.96791 19.69039 19.57989 19.584 0.08572141 0 0 3513 301 2 75 347 1237660561895522651
122.049054186048 25.7852027019951 21.21085 20.10353 19.818 19.701 19.55632 0.08301564 0 0 3513 301 2 74 374 1237660561895457142
122.030700495659 26.6299469822778 19.37563 18.28716 18.03646 17.94917 17.97599 0.07463065 0.8246211 -14.03624 3462 301 4 81 336 1237660343926325584
122.072610064179 29.2758649088735 20.31307 19.22801 18.92983 18.83158 18.80776 0.111698 1 0 2864 301 1 88 233 1237657773925728489
122.098103658297 29.7276623106309 20.33219 19.4074 19.11224 19.00677 18.92811 0.1036196 0.7211103 123.6901 2830 301 2 82 221 1237657628433318109
114.124421481833 27.9455667374983 20.74926 19.6972 19.33513 19.26281 19.21838 0.09600434 0 0 2825 301 5 37 373 1237657608566145397
113.783502563629 27.8504889819077 20.56599 19.46236 19.10365 19.04871 18.99099 0.08958499 0 0 2825 301 5 35 403 1237657608566014355
114.805020650174 27.4951516312947 20.21499 19.29042 18.98254 18.8587 18.89333 0.1047549 0 0 2825 301 3 37 458 1237657607492403658
118.011368512094 29.045338642645 21.58342 19.96127 19.73469 19.10105 19.03447 0.09442101 0 0 2777 301 3 64 498 1237657401335742962
117.814128858126 28.9588656774134 20.37669 19.31822 19.01412 19.05465 18.96539 0.08576678 0 0 2777 301 3 63 348 1237657401335677276
117.444432828576 29.3946231847131 20.59192 19.61593 19.30924 19.25121 19.15246 0.1005116 0 0 2711 301 5 64 385 1237657118941643137
122.150131290213 25.3452644707932 20.07261 19.06885 18.74852 18.62878 18.56448 0.1109762 0 0 3605 301 5 91 367 1237660958644175215
122.05054703222 25.3861569513514 20.01593 19.16842 18.82756 18.62058 18.60573 0.1084492 0 0 3605 301 5 91 287 1237660958644175135
122.083653487872 25.3146840241687 20.08961 19.05152 18.81544 18.73789 18.70121 0.1064228 0 0 3605 301 5 90 406 1237660958644109718
122.049442292244 25.3032343170581 20.36223 19.325 19.01044 18.95515 18.98932 0.1037908 0 0 3605 301 5 90 370 1237660958644109682
122.112436364564 25.0340238175862 21.10162 20.16047 19.87366 19.78503 19.71523 0.09698775 0 0 3605 301 4 89 516 1237660958107173380
122.128514979777 25.0230405991456 19.76121 18.72707 18.47909 18.43772 18.40942 0.09748324 0 0 3605 301 4 89 309 1237660958107173173
110.824882046405 28.8870674053879 20.14879 19.13049 18.79676 18.65703 18.58957 0.1087682 0 0 2062 301 5 47 570 1237654331506754106
122.110122774186 25.3520295333721 20.83447 19.81989 19.48862 19.39385 19.31175 0.1080355 0 0 3605 301 5 91 318 1237660958644175166
122.117009803891 28.208805555894 19.98656 18.98233 18.69105 18.54442 18.55671 0.08189435 0 0 2961 301 3 52 299 1237658191608938795
118.670921069304 29.280344700763 19.94879 18.915 18.62927 18.54562 18.55982 0.1208662 0 0 2864 301 6 74 249 1237657776609165561
115.525124587944 26.4254224856084 18.9864 18.04075 17.76506 17.61637 17.54377 0.1032823 0 0 2864 301 6 47 518 1237657776607396358
122.111566767629 29.503620807112 20.55331 19.56674 19.22473 19.07477 19.07255 0.100646 0 0 2864 301 1 89 380 1237657773925794172
114.805573316044 25.1036471649665 21.1456 20.16294 19.83658 19.75193 19.68291 0.1076528 0 0 2830 301 6 30 972 1237657630577394636
118.670967982998 28.2549587068971 19.53537 18.47399 18.15535 18.05594 18.02296 0.07883423 0.7211103 -33.69007 2830 301 5 61 340 1237657630042554708
117.109969096538 26.7610738913026 21.26638 20.22528 19.91749 19.80862 19.84397 0.07965478 0.8 90 2830 301 5 47 570 1237657630041637434
116.930145786593 25.4319512291856 18.86817 17.78556 17.47842 17.34351 17.30274 0.09273537 0.6324555 -18.43495 2830 301 3 40 178 1237657628967436466
118.31050220314 26.3028778565398 18.88711 17.79477 17.49748 17.38959 17.37503 0.07638043 0.6324555 18.43495 2830 301 2 50 82 1237657628431220818
113.183452887845 27.7709338357477 20.40435 19.35422 19.04959 18.90978 18.89417 0.08686283 0 0 2825 301 6 32 635 1237657609102688891
115.164740947799 29.1538996747682 20.43998 19.29002 18.98831 18.86938 18.78507 0.08674546 0 0 2825 301 5 47 444 1237657608566800828
114.805472392838 28.9698058286223 21.18681 20.15126 19.9096 19.77943 19.79939 0.09391543 0 0 2825 301 5 45 691 1237657608566670003
113.679200022988 27.5739318553871 21.39888 20.27025 19.987 19.8122 19.75008 0.09105396 0 0 2825 301 5 33 922 1237657608565883802
