ra dec psfMag_u psfMag_g psfMag_r psfMag_i psfMag_z extinction_r propermotion angle run rerun camCol field obj objID
246.717175767081 41.592984371206 20.9274 20.03004 19.81794 19.76349 19.61282 0.01853232 0 0 2305 301 2 39 197 1237655373572669637
248.282270696322 40.696572560179 21.17093 20.03875 19.70416 19.54564 19.50748 0.01513276 1.216553 170.5377 2305 301 3 48 263 1237655374110130439
248.542939369418 41.607522431045 19.93735 19.09501 18.87534 18.77208 18.7033 0.01533766 0 0 2305 301 5 44 271 1237655375183610127
240.98173898756 41.5102474112813 18.93966 18.06844 17.76307 17.64699 17.64235 0.01771503 0 0 3187 301 4 97 131 1237659162811367555
240.860157602638 41.5640409449844 21.03037 20.11939 19.85039 19.768 19.69971 0.01743926 0 0 3187 301 4 97 164 1237659162811367588
244.903071005697 42.6541356776435 20.91263 20.29826 19.95633 19.80067 19.68845 0.02959632 1.442221 56.30993 3225 301 6 215 507 1237659327101600251
244.906411760224 42.8204870839856 20.12382 19.30357 18.95269 18.81943 18.78442 0.02827119 1.414214 -98.1301 3225 301 6 214 210 1237659327101534418
248.543212409814 40.2659547183233 18.9955 17.90058 17.55654 17.3994 17.38048 0.02088767 0 0 2305 301 3 51 171 1237655374110326955
241.856220257451 40.9793772658974 20.79787 20.04298 19.72608 19.6681 19.69596 0.01524713 0 0 3705 301 4 257 159 1237661387614912671
241.632809383187 41.1506079664481 19.88144 19.00542 18.78561 18.72769 18.7841 0.02173832 0 0 3705 301 4 255 146 1237661387614781586
240.819361895004 41.8842885125005 21.0138 20.25311 19.96396 19.89553 19.84502 0.02654283 0 0 3705 301 4 249 257 1237661387614388481
243.207972788033 43.9602596310546 19.26583 18.38399 18.05029 17.95627 17.92255 0.03020117 1.341641 -63.43495 3225 301 6 203 155 1237659327100813467
242.41144993773 44.7231487707205 19.77804 18.90047 18.67386 18.51918 18.57823 0.03343578 0 0 3225 301 6 196 316 1237659327100354876
248.275197540633 40.6752734003041 20.22898 19.27834 18.9917 18.91973 18.90231 0.01559157 0.6324555 18.43495 2305 301 3 48 276 1237655374110130452
248.286919142506 42.8826884965658 19.90536 18.97361 18.65982 18.57226 18.5502 0.01826852 0 0 2299 301 6 329 218 1237655349969354970
246.294546452639 44.5233999903551 20.23166 19.38408 19.13917 19.03889 19.08935 0.01950353 0.6324555 161.565 2299 301 6 314 372 1237655349968372084
240.687402925317 42.3873540067666 20.56718 19.68285 19.36002 19.25592 19.2283 0.03356088 0 0 3705 301 5 246 124 1237661388151062652
248.274448337278 41.3446927100848 20.40061 19.34644 19.00489 18.87236 18.85713 0.01744662 0 0 2305 301 4 45 227 1237655374646804707
244.896875361593 44.3584411563905 20.15759 19.27454 18.97258 18.88364 18.84849 0.02404123 1.131371 135 2299 301 4 311 226 1237655348894433506
246.717356489626 42.1085260409198 19.41344 18.46889 18.20578 18.12079 18.07464 0.01937804 0.8944272 -153.435 2299 301 3 328 276 1237655348358676756
244.640275503924 43.3913689798626 19.41491 18.56881 18.35192 18.26745 18.21801 0.03466346 0 0 4629 301 4 192 203 1237665356160434379
244.646893035463 40.7334266626758 20.5018 19.63953 19.34633 19.2071 19.14354 0.01755108 0 0 4629 301 4 174 184 1237665356159254712
245.306416483675 42.9826564567232 20.41506 19.47585 19.15912 19.00809 18.9884 0.02952616 0 0 4629 301 3 189 221 1237665355623366877
245.308098108975 42.7648834833307 20.56918 19.64978 19.38187 19.39036 19.31399 0.02862122 0 0 4629 301 3 188 250 1237665355623301370
245.306042159215 41.9291559151349 20.99812 20.09974 19.78513 19.66563 19.6667 0.02182266 1.16619 30.96376 4629 301 3 182 236 1237665355622908140
245.834322052681 40.2043971037371 18.56798 17.66649 17.38321 17.23657 17.23757 0.02208746 0 0 4629 301 2 170 230 1237665355085250790
241.854454884528 41.3729174443489 20.92792 19.91574 19.6819 19.59263 19.56391 0.02633382 0 0 3187 301 5 101 307 1237659163348500787
241.620988790839 41.6792601123011 19.946 18.96741 18.66552 18.55055 18.52777 0.02436324 1.019804 168.6901 3187 301 5 99 235 1237659163348369643
240.985727502091 41.9999464770514 19.94396 19.00664 18.76531 18.6638 18.68202 0.02638258 1.019804 -168.6901 3187 301 5 95 262 1237659163348107526
240.689828212884 42.1749000211661 20.11178 19.81451 19.49804 19.41783 19.43522 0.03020359 0 0 3187 301 5 93 303 1237659163347976495
241.849858661063 40.934573626716 19.96547 19.07545 18.81658 18.71616 18.71528 0.0167173 0 0 3187 301 4 103 352 1237659162811760992
241.633080433204 40.9826901693908 20.34867 19.41661 19.1158 19.03546 19.00297 0.01824255 0 0 3187 301 4 102 180 1237659162811695284
240.858355329998 40.8968271960844 20.65241 19.79278 19.46148 19.38035 19.31983 0.02452109 0 0 3187 301 3 100 182 1237659162274693302
240.686363798769 41.0354010412733 20.22398 19.3856 19.06374 18.96106 18.93976 0.02257173 0 0 3187 301 3 99 109 1237659162274627693
240.448255744672 40.1695420199885 19.82367 18.95953 18.66474 18.55959 18.51222 0.03776897 0 0 3187 301 1 102 234 1237659161201082602
246.710115455194 44.2512130782392 20.54798 19.6183 19.3185 19.19471 19.2608 0.02203504 0.8246211 75.96375 2299 301 6 317 196 1237655349968568516
246.505342567956 43.1545303978068 18.53454 17.37599 17.09029 17.03807 17.00483 0.02183754 0 0 2299 301 4 322 66 1237655348895154242
249.360904181725 44.1229597731555 20.76862 19.89765 19.6029 19.45661 19.45752 0.02862149 0 0 1345 301 5 631 565 1237651252053475893
248.535554641179 44.0793786800045 20.7495 19.77705 19.53731 19.45946 19.46305 0.0232903 0 0 1345 301 4 629 424 1237651251516473768
245.834543998578 40.8494572086487 21.0892 20.20514 19.9766 19.86554 19.82849 0.01376799 0 0 4629 301 2 175 288 1237665355085578528
243.209467081827 40.5844349986855 20.0227 19.1337 18.84549 18.74221 18.71255 0.02388233 0 0 3705 301 5 263 252 1237661388152176892
242.40856260755 40.9917461476432 19.74468 18.90578 18.54356 18.4427 18.39876 0.01558499 0 0 3187 301 5 105 284 1237659163348762908
241.628428299366 41.6906691099541 20.69568 19.64277 19.38353 19.31155 19.29933 0.02399097 0 0 3187 301 5 99 226 1237659163348369634
248.537532882955 41.7009008908535 20.05899 19.07722 18.8468 18.77059 18.70106 0.01681287 0 0 2305 301 5 44 211 1237655375183610067
245.305578820107 44.6221004400051 21.08622 20.30273 19.9574 19.89108 19.72319 0.02071841 0 0 4629 301 3 200 498 1237665355624088050
245.308709460968 42.6141905265212 19.06564 18.14481 17.8863 17.79521 17.76291 0.02755549 1.523155 -156.8014 4629 301 3 187 6 1237665355623235590
246.507790735697 41.0037654480932 21.26798 20.30614 19.99481 19.84578 19.80337 0.01438017 0 0 4629 301 1 176 454 1237665354548773318
246.712238687962 40.1346547822753 20.88517 20.10294 19.81069 19.68386 19.68373 0.01950078 0 0 3226 301 5 96 169 1237659330851897513
246.500094090914 40.2886762158636 21.02935 20.10626 19.78123 19.72198 19.69226 0.01630787 0 0 3226 301 5 94 429 1237659330851766701
246.501223756323 40.3717490591745 18.37653 17.41774 17.10581 16.98253 16.92876 0.01863194 0.8 180 3226 301 5 94 49 1237659330851766321
242.411743231472 43.2698884157456 20.37047 19.48712 19.14705 19.01297 19.02052 0.02504213 0.7211103 33.69007 3226 301 4 66 228 1237659330313060580
249.370468448962 41.1385223892435 21.10505 20.25991 19.99805 19.89381 20.02676 0.01196949 0 0 2335 301 1 23 541 1237655501883769373
249.363105847012 41.2511120839728 20.33009 19.51542 19.28728 19.14295 19.15399 0.01432835 0 0 2335 301 1 22 346 1237655501883703642
248.286924812856 42.3889619466569 20.77316 19.90938 19.63132 19.54623 19.49754 0.0265177 0 0 2335 301 1 13 317 1237655501883113789
249.370089532761 40.100506082346 20.5759 19.40578 19.04059 18.86444 18.7872 0.02167382 0 0 2305 301 4 55 223 1237655374647460063
244.643135324399 43.9904817777104 21.01259 20.19742 19.92986 19.82401 19.89096 0.03450211 1.697056 45 2299 301 3 312 195 1237655348357628099
248.534643636609 44.6790380568479 20.98393 20.08214 19.7725 19.65973 19.67809 0.02873267 1.886796 -57.99462 2248 301 5 128 146 1237655130375979154
248.274519647613 44.8482918186634 19.62168 18.85906 18.56079 18.4016 18.41726 0.02557174 0 0 2248 301 5 126 240 1237655130375848176
249.785602071545 44.9847940564365 20.87109 19.90071 19.59132 19.4648 19.49788 0.02142874 0 0 1453 301 2 66 182 1237651714262302902
246.318130836847 44.4313795652881 20.55543 19.59222 19.25541 19.12982 19.13449 0.02165641 0 0 2299 301 6 315 214 1237655349968437462
246.484370591553 44.4537831483957 19.85778 18.82741 18.45711 18.35394 18.27297 0.02047222 0 0 2299 301 6 315 276 1237655349968437524
247.432379718494 41.4722237278524 19.62996 18.56515 18.24079 18.12367 18.15854 0.0146619 0 0 2305 301 3 42 165 1237655374109737125
240.578901221328 42.4478458244019 19.97815 19.10579 18.85706 18.7676 18.78412 0.03230418 0 0 3187 301 5 92 146 1237659163347910802
243.3029145893 40.651915708866 20.56103 19.67933 19.43028 19.30916 19.2708 0.02251615 1.56205 39.80557 3705 301 5 263 254 1237661388152176894
243.31455260583 44.0798100106094 20.25405 19.39349 19.12561 19.07485 19.03125 0.02795925 0 0 3225 301 6 202 304 1237659327100748080
248.115030816735 41.5593109444834 20.46442 19.40892 19.10927 18.98675 18.83992 0.01948857 0 0 2305 301 4 43 275 1237655374646673683
243.303036363346 40.352783187449 18.84391 17.87794 17.60201 17.49619 17.4875 0.02674312 0 0 3187 301 5 111 178 1237659163349156018
241.753078596744 41.5927013606412 20.81325 20.03435 19.77982 19.6816 19.7358 0.02279482 0 0 3187 301 5 100 251 1237659163348435195
240.573637087788 41.0417340420871 20.11914 19.14973 18.95272 18.90141 18.87675 0.02355015 0 0 3187 301 3 98 252 1237659162274562300
248.101995753638 40.7594084184897 20.00715 19.10418 18.82747 18.70206 18.6846 0.01722456 0 0 2305 301 3 47 330 1237655374110064970
247.424463737624 40.8701824887443 20.84792 19.84068 19.54578 19.37504 19.208 0.01586768 0 0 2305 301 2 45 288 1237655373573062944
247.666330020059 43.2033341132347 20.88285 19.89182 19.55596 19.46602 19.45535 0.01697929 1.16619 -59.03624 2299 301 6 325 387 1237655349969092995
247.667898929061 42.6420701818776 20.33083 20.03857 19.78507 19.77179 19.67175 0.01787476 0 0 2299 301 5 328 304 1237655349432418608
247.425531249273 42.6827672376484 21.09948 20.05649 19.79889 19.71373 19.72084 0.02092975 1.612452 -97.12502 2299 301 5 327 281 1237655349432353049
246.322431183304 43.3344920253661 18.90495 18.01813 17.79311 17.64233 17.69978 0.0312664 0 0 2299 301 4 321 4 1237655348895088644
246.315795120212 42.4179969906223 19.1099 18.12799 17.84107 17.75429 17.74361 0.02710752 0 0 2299 301 3 325 142 1237655348358480014
247.657173141994 42.6298104637245 18.56513 17.55213 17.20781 17.08505 17.06378 0.01810443 0 0 2299 301 5 328 152 1237655349432418456
248.936752081191 43.8623856686294 19.78215 18.89126 18.65699 18.58068 18.5891 0.02253575 0 0 1345 301 4 632 239 1237651251516670191
244.113651678842 41.3005762485598 19.91738 19.0916 18.82633 18.64576 18.57514 0.01955728 1.456022 -15.9454 4629 301 5 178 236 1237665356696387820
249.782536267031 44.1151609546094 19.74864 18.83436 18.5871 18.47044 18.52425 0.02602259 0 0 6161 301 1 22 307 1237671934428578099
241.752237490822 44.9728838961112 20.76576 19.88102 19.65002 19.56802 19.64055 0.0295177 1.280625 128.6598 3226 301 6 55 283 1237659331386081563
245.643996903327 40.5715612537083 20.73107 19.57882 19.24118 19.09007 19.01833 0.01866846 1.264911 -71.56505 3226 301 4 90 328 1237659330314633544
240.460615170672 41.7555432026412 20.00044 19.14086 18.87729 18.77134 18.80858 0.02472727 0 0 3187 301 4 94 423 1237659162811171239
247.667514015692 42.8765439617027 20.38142 19.56328 19.27332 19.12054 19.12339 0.01356401 0 0 2328 301 6 34 339 1237655474504073555
249.779718595936 40.4272069191521 19.75639 18.86547 18.6314 18.5442 18.56896 0.01805305 0 0 2305 301 5 54 361 1237655375184265577
249.78695561711 40.4281291653509 19.07358 18.04735 17.68863 17.58068 17.5559 0.01791426 0 0 2305 301 5 54 157 1237655375184265373
246.484319142751 43.5855526241238 20.27401 19.40772 19.11344 19.04894 19.05615 0.02654953 0.8246211 -165.9638 2299 301 5 320 231 1237655349431894247
246.495007817389 43.5999431282075 18.30175 17.36422 17.07289 16.95747 16.91854 0.02592347 1 -143.1301 2299 301 5 320 48 1237655349431894064
243.311158664483 44.994376714841 20.64953 19.72558 19.42044 19.26315 19.20267 0.02347596 1.442221 -33.69007 2299 301 3 303 216 1237655348357038296
245.633105467996 42.4908811456034 21.1034 20.03319 19.74856 19.6622 19.56735 0.02294646 0 0 2299 301 2 323 195 1237655347821478083
249.86291935703 43.1602138349185 20.66978 19.8026 19.53181 19.48495 19.49749 0.02802387 0 0 2248 301 5 140 231 1237655130376765671
248.950906956153 44.3584583702156 20.61992 19.57117 19.24496 19.12351 19.04067 0.0245406 1.414214 -45 2248 301 5 131 265 1237655130376175881
248.105078450001 44.9242345696194 18.88589 17.95543 17.67423 17.52775 17.53739 0.02407596 1.264911 -18.43495 2248 301 5 125 71 1237655130375782471
247.428280121576 44.8597256564054 20.76009 19.74855 19.47732 19.42164 19.37847 0.02317788 1.8 0 2248 301 4 124 263 1237655129838846215
247.43138648114 44.8670911107809 20.2411 19.35778 19.0918 19.01398 18.8626 0.02300789 0.4 0 2248 301 4 124 257 1237655129838846209
247.42441576572 44.9472093346345 20.61629 19.81641 19.52369 19.48879 19.39473 0.02120018 0 0 2248 301 4 123 248 1237655129838780664
249.868654387295 41.6332659458934 20.57897 19.73342 19.43089 19.28086 19.18921 0.01710184 0 0 2248 301 3 148 313 1237655129303548217
247.422852132279 44.3628764043536 18.57744 17.54037 17.23804 17.11746 17.07805 0.02160987 0 0 2248 301 3 126 136 1237655129302106248
249.863772284519 41.2200648032327 20.83216 19.81735 19.49948 19.30061 19.23561 0.01734134 0 0 2248 301 2 150 327 1237655128766808391
248.948662489841 44.4946031061395 21.14109 20.13256 19.85564 19.72279 19.64288 0.02615273 0 0 1345 301 5 628 419 1237651252053279139
248.931692955192 44.5715419936777 21.19479 20.24353 19.89108 19.78912 19.63823 0.02848561 0 0 1345 301 5 628 325 1237651252053279045
249.865307190063 43.9215777002929 20.80565 19.92427 19.6153 19.50987 19.47009 0.02687156 0 0 6161 301 1 23 340 1237671934428643668
244.124254792889 43.0115662736851 20.63166 19.76849 19.43115 19.36272 19.33173 0.03070398 0 0 4629 301 5 189 350 1237665356697108830
245.423943226812 43.5381910462399 20.78253 20.05549 19.75159 19.61134 19.55125 0.02934623 1.612452 29.74488 4629 301 3 193 159 1237665355623628959
245.424518279428 42.6254011203438 19.87666 18.94198 18.6104 18.52746 18.48581 0.02938171 1.16619 -59.03624 4629 301 3 187 177 1237665355623235761
240.459298792164 42.6059176802361 19.69538 18.76002 18.53128 18.46163 18.43262 0.03573802 0 0 3705 301 5 244 243 1237661388150931699
240.270081006196 42.8187519161055 20.50852 19.66296 19.336 19.22096 19.11605 0.02517319 0.2828427 45 3705 301 5 242 187 1237661388150800571
240.142386809402 43.0247521474617 20.69471 19.61598 19.31221 19.13882 19.07845 0.0340479 0 0 3705 301 5 241 199 1237661388150735047
243.305052254833 43.8396711840899 20.97417 20.19521 19.90904 19.79986 19.60995 0.02684607 0 0 3226 301 6 66 480 1237659331386802656
243.316132171104 43.7922382469671 19.43174 18.56213 18.26167 18.18659 18.11853 0.02530491 1 180 3226 301 6 66 298 1237659331386802474
243.310271055341 43.7902740996445 20.4679 19.51128 19.19887 19.10671 19.16481 0.02519992 0 0 3226 301 6 66 294 1237659331386802470
246.490046988634 40.3955366669451 20.60815 19.52839 19.27274 19.16839 19.03864 0.01892874 0 0 3226 301 5 94 177 1237659330851766449
242.533142852242 43.6182898210945 20.7149 19.77899 19.44157 19.3674 19.35582 0.02547958 0 0 3226 301 5 65 190 1237659330849865918
242.535656768324 43.6704217134805 20.47892 19.64447 19.3751 19.28655 19.31385 0.02657665 1 53.1301 3226 301 5 64 336 1237659330849800528
